operation,variant,cold_mean_s,cold_sd_s,warm_mean_ms,warm_sd_ms,throughput_mean_mrows_s,throughput_sd_mrows_s,effective_bandwidth_mean_gib_s,effective_bandwidth_sd_gib_s,peak_memory_mib,allocated_per_call_mib,warm_speedup_vs_precompiled
request-line,precompiled,0.066313,0.000504,68.416,0.167,14.617,0.035,0.975,0.002,32.00,32.23,1.00
request-line,jit,1.398848,0.008472,2.574,0.017,388.528,2.554,25.910,0.170,43.32,54.77,26.58
request-line,lto,1.417205,0.008892,2.618,0.041,381.982,5.925,25.473,0.395,43.32,54.77,26.13
combined-log,precompiled,0.601166,0.011457,600.868,3.285,1.664,0.009,0.495,0.003,145.13,145.85,1.00
combined-log,jit,1.554661,0.013899,25.394,0.209,39.382,0.323,11.711,0.096,171.72,198.42,23.66
combined-log,lto,1.620733,0.055994,25.465,0.166,39.270,0.254,11.677,0.076,171.72,198.42,23.60
